,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
205,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2016.0,75.3,45.8,63.6,9,0.05,0.08,0.06,0.03
206,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2017.0,146.5,90.6,76.2,52.5,0.08,0.11,0.07,0.19
207,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2018.0,102.8,46.3,75.5,9.5,0.05,0.06,0.06,0.04
208,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2019.0,190.5,162.2,74.5,21.1,0.1,0.2,0.06,0.08
209,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2012.0,8.8,5.3,3.9,0.5,0.09,0.12,0.08,0.05
210,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2013.0,16.2,13.6,6.6,0.8,0.14,0.22,0.12,0.11
211,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2014.0,18,13,12.3,0.9,0.16,0.23,0.19,0.09
212,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2015.0,9.5,15.1,12.8,1.9,0.11,0.58,0.21,0.18
213,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2016.0,12.5,9.4,5.6,2.3,0.1,0.15,0.1,0.18
214,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2017.0,18.2,13,7.1,1.7,0.15,0.2,0.12,0.12
215,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2018.0,29.2,15.2,17.5,2.2,0.19,0.22,0.2,0.11
216,A (Part) 2,"Agriculture, forestry and fishing",Northern Ireland,2019.0,29.4,24,10.9,1.5,0.17,0.3,0.12,0.08
217,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2012.0,229,97,198.9,21.1,0.07,0.08,0.09,0.04
218,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2013.0,164.2,100.3,120,31.2,0.04,0.06,0.05,0.05
219,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2014.0,260.5,108.3,191,33.6,0.07,0.06,0.08,0.05
220,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2015.0,246.7,136.3,174.5,37.8,0.06,0.08,0.07,0.06
221,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2016.0,192.1,138.4,140.5,29.9,0.05,0.07,0.06,0.04
222,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2017.0,353,215.7,227.3,96,0.07,0.09,0.08,0.12
223,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2018.0,327.2,193.6,215.3,54.1,0.06,0.09,0.07,0.06
224,A (Part) 2,"Agriculture, forestry and fishing",United Kingdom,2019.0,383.1,326.7,168.5,46.9,0.07,0.14,0.06,0.05
225,01 (Part) 2,"Crop and animal production, hunting",North East,2012.0,1.9,1.5,1.4,0.5,0.1,0.13,0.16,0.09
226,01 (Part) 2,and related service activities,North East,2013.0,3.2,2.1,1.6,0.5,0.14,0.15,0.16,0.1
227,01 (Part) 2,and related service activities,North East,2014.0,3.2,1.3,2.6,0.4,0.13,0.12,0.18,0.09
228,01 (Part) 2,and related service activities,North East,2015.0,4.5,2.6,2.9,0.7,0.16,0.17,0.22,0.15
229,01 (Part) 2,and related service activities,North East,2016.0,4.4,3.1,2.5,0.7,0.12,0.17,0.13,0.12
230,01 (Part) 2,and related service activities,North East,2017.0,4.4,2.1,3.4,0.7,0.11,0.11,0.16,0.12
231,01 (Part) 2,and related service activities,North East,2018.0,6.4,3.5,4.6,1.2,0.15,0.2,0.18,0.17
232,01 (Part) 2,and related service activities,North East,2019.0,5.9,3.2,4.5,0.8,0.14,0.2,0.16,0.11
233,01 (Part) 2,and related service activities,North West,2012.0,7.2,5,5.3,1.5,0.06,0.08,0.08,0.04
234,01 (Part) 2,and related service activities,North West,2013.0,14.5,8.7,8.1,5.3,0.1,0.12,0.12,0.15
235,01 (Part) 2,and related service activities,North West,2014.0,17.2,9.1,12.1,6.1,0.11,0.13,0.14,0.16
236,01 (Part) 2,and related service activities,North West,2015.0,20.1,10.7,13.4,6.7,0.12,0.13,0.17,0.18
237,01 (Part) 2,and related service activities,North West,2016.0,16.4,13.7,8.7,5.5,0.11,0.15,0.14,0.15
238,01 (Part) 2,and related service activities,North West,2017.0,12,8.2,8.5,6.3,0.08,0.1,0.11,0.17
239,01 (Part) 2,and related service activities,North West,2018.0,24.1,14.6,14.4,8.5,0.13,0.16,0.15,0.18
240,01 (Part) 2,and related service activities,North West,2019.0,21,12.8,13,7.6,0.12,0.16,0.14,0.17
241,01 (Part) 2,and related service activities,Yorkshire and The Humber,2012.0,5,3.8,3.5,1.5,0.07,0.11,0.1,0.09
242,01 (Part) 2,and related service activities,Yorkshire and The Humber,2013.0,7.4,5,3.8,1.3,0.07,0.1,0.07,0.07
243,01 (Part) 2,and related service activities,Yorkshire and The Humber,2014.0,10,3.9,8.4,1.3,0.09,0.09,0.12,0.07
244,01 (Part) 2,and related service activities,Yorkshire and The Humber,2015.0,13.6,7.9,9.1,2.1,0.12,0.15,0.15,0.14
245,01 (Part) 2,and related service activities,Yorkshire and The Humber,2016.0,11.9,7.5,9.1,2.1,0.12,0.15,0.17,0.11
246,01 (Part) 2,and related service activities,Yorkshire and The Humber,2017.0,13.8,9.3,10.3,2.1,0.1,0.13,0.15,0.1
247,01 (Part) 2,and related service activities,Yorkshire and The Humber,2018.0,22.5,11.7,15.9,3.9,0.14,0.18,0.16,0.15
248,01 (Part) 2,and related service activities,Yorkshire and The Humber,2019.0,14.5,9.5,9.2,2,0.1,0.17,0.1,0.08
249,01 (Part) 2,and related service activities,East Midlands,2012.0,8.7,6.2,5.9,2.2,0.07,0.1,0.09,0.08
250,01 (Part) 2,and related service activities,East Midlands,2013.0,13.4,10.7,6.2,2.4,0.05,0.1,0.04,0.06
251,01 (Part) 2,and related service activities,East Midlands,2014.0,19.7,8.4,15.2,2.5,0.08,0.08,0.11,0.06
252,01 (Part) 2,and related service activities,East Midlands,2015.0,18.4,10.5,12.2,2.9,0.09,0.11,0.12,0.09
253,01 (Part) 2,and related service activities,East Midlands,2016.0,17.6,12,11.3,2.7,0.09,0.12,0.11,0.07
254,01 (Part) 2,and related service activities,East Midlands,2017.0,15.2,8.5,11.6,2.9,0.07,0.08,0.09,0.07
255,01 (Part) 2,and related service activities,East Midlands,2018.0,23.3,15.2,13,4.7,0.09,0.13,0.1,0.1
256,01 (Part) 2,and related service activities,East Midlands,2019.0,22,13,13.8,3.3,0.08,0.12,0.09,0.08
257,01 (Part) 2,and related service activities,West Midlands,2012.0,4.8,4.7,3.9,1.3,0.06,0.13,0.07,0.07
258,01 (Part) 2,and related service activities,West Midlands,2013.0,8.4,5.8,4.5,1.7,0.08,0.1,0.1,0.08
259,01 (Part) 2,and related service activities,West Midlands,2014.0,12.5,4.9,10.3,1.6,0.12,0.12,0.16,0.08
260,01 (Part) 2,and related service activities,West Midlands,2015.0,14.2,8,9.7,2.3,0.13,0.13,0.18,0.13
261,01 (Part) 2,and related service activities,West Midlands,2016.0,9.4,7.6,5.7,1.8,0.11,0.14,0.14,0.1
262,01 (Part) 2,and related service activities,West Midlands,2017.0,9.5,6.5,7,1.9,0.08,0.11,0.12,0.1
263,01 (Part) 2,and related service activities,West Midlands,2018.0,18.2,11.9,10.5,3.8,0.14,0.18,0.15,0.17
264,01 (Part) 2,and related service activities,West Midlands,2019.0,13.5,9.3,8.3,1.9,0.13,0.19,0.14,0.1
265,01 (Part) 2,and related service activities,East of England,2012.0,27.2,12.3,19.3,3.1,0.11,0.11,0.13,0.06
266,01 (Part) 2,and related service activities,East of England,2013.0,34.5,20.3,18.5,3.9,0.11,0.13,0.12,0.07
267,01 (Part) 2,and related service activities,East of England,2014.0,28.9,11.7,25.3,4,0.1,0.11,0.12,0.07
268,01 (Part) 2,and related service activities,East of England,2015.0,37.6,19.1,24.4,4.1,0.11,0.13,0.12,0.08
269,01 (Part) 2,and related service activities,East of England,2016.0,29.5,17.7,16.8,3.8,0.11,0.13,0.12,0.07
270,01 (Part) 2,and related service activities,East of England,2017.0,31.4,17.9,17.1,4.1,0.1,0.11,0.11,0.07
271,01 (Part) 2,and related service activities,East of England,2018.0,43.1,24.4,23.6,6.6,0.12,0.15,0.12,0.1
272,01 (Part) 2,and related service activities,East of England,2019.0,39.7,20.3,24.3,4.5,0.12,0.14,0.12,0.07
273,01 (Part) 2,and related service activities,London,2012.0,1.9,1.4,1.2,0.5,0.12,0.15,0.15,0.12
274,01 (Part) 2,and related service activities,London,2013.0,3.2,2,1.6,0.6,0.14,0.15,0.16,0.11
275,01 (Part) 2,and related service activities,London,2014.0,3.1,1.2,2.6,0.5,0.14,0.11,0.2,0.08
276,01 (Part) 2,and related service activities,London,2015.0,3.3,1.9,2.2,0.5,0.16,0.16,0.22,0.13
277,01 (Part) 2,and related service activities,London,2016.0,2.9,2.2,1.6,0.5,0.18,0.21,0.21,0.14
278,01 (Part) 2,and related service activities,London,2017.0,2.6,1.8,1.8,0.8,0.09,0.11,0.14,0.15
279,01 (Part) 2,and related service activities,London,2018.0,4.6,3,2.7,1,0.16,0.19,0.18,0.15
280,01 (Part) 2,and related service activities,London,2019.0,4.4,2.9,2.7,0.8,0.14,0.18,0.17,0.13
281,01 (Part) 2,and related service activities,South East,2012.0,9.2,7.7,6.1,2.5,0.07,0.12,0.09,0.08
282,01 (Part) 2,and related service activities,South East,2013.0,14.9,10.2,7.9,2.8,0.09,0.11,0.1,0.09
283,01 (Part) 2,and related service activities,South East,2014.0,21.2,8.3,16.7,2.6,0.12,0.11,0.15,0.08
284,01 (Part) 2,and related service activities,South East,2015.0,22.3,13.2,14.7,3.9,0.11,0.12,0.15,0.11
285,01 (Part) 2,and related service activities,South East,2016.0,15.7,12.2,9.6,2.9,0.09,0.12,0.11,0.08
286,01 (Part) 2,and related service activities,South East,2017.0,16.2,10.8,11.7,3.4,0.07,0.09,0.1,0.08
287,01 (Part) 2,and related service activities,South East,2018.0,30.5,20,17.1,6.6,0.12,0.16,0.13,0.13
288,01 (Part) 2,and related service activities,South East,2019.0,21.9,14.3,13.7,3.5,0.11,0.16,0.12,0.1
289,01 (Part) 2,and related service activities,South West,2012.0,11.5,8,7.8,2.4,0.11,0.15,0.16,0.1
290,01 (Part) 2,and related service activities,South West,2013.0,19.1,12.3,9.7,2.9,0.14,0.16,0.16,0.1
291,01 (Part) 2,and related service activities,South West,2014.0,20.8,8.1,17.2,2.6,0.14,0.13,0.19,0.09
292,01 (Part) 2,and related service activities,South West,2015.0,27.1,15.3,17.8,3.9,0.16,0.16,0.22,0.14
293,01 (Part) 2,and related service activities,South West,2016.0,17.3,13.1,10.1,2.8,0.14,0.17,0.17,0.1
294,01 (Part) 2,and related service activities,South West,2017.0,19.4,13,13.3,3.4,0.1,0.13,0.14,0.1
295,01 (Part) 2,and related service activities,South West,2018.0,36.1,22.5,21,7.1,0.16,0.2,0.18,0.15
296,01 (Part) 2,and related service activities,South West,2019.0,30.6,18.9,19.3,3.7,0.16,0.22,0.18,0.1
297,01 (Part) 2,and related service activities,England,2012.0,52.2,44.8,35.5,14,0.06,0.1,0.07,0.07
298,01 (Part) 2,and related service activities,England,2013.0,90.8,64,47.4,17.1,0.07,0.1,0.08,0.07
299,01 (Part) 2,and related service activities,England,2014.0,116.7,43.6,99.4,14.6,0.09,0.08,0.12,0.06
300,01 (Part) 2,and related service activities,England,2015.0,141.4,81.7,95.4,21.9,0.11,0.12,0.14,0.1
301,01 (Part) 2,and related service activities,England,2016.0,99.3,79.6,58.5,17.2,0.09,0.12,0.1,0.07
302,01 (Part) 2,and related service activities,England,2017.0,99.2,66.4,73.1,17.9,0.07,0.09,0.1,0.07
303,01 (Part) 2,and related service activities,England,2018.0,181.9,118.6,105.6,37.5,0.11,0.15,0.12,0.12
304,01 (Part) 2,and related service activities,England,2019.0,140.8,93.9,88.8,18.3,0.1,0.15,0.1,0.07
305,01 (Part) 2,and related service activities,Wales,2012.0,3.9,2.7,2.7,0.8,0.11,0.14,0.16,0.09
306,01 (Part) 2,and related service activities,Wales,2013.0,6.7,4.3,3.4,1,0.14,0.16,0.17,0.1
307,01 (Part) 2,and related service activities,Wales,2014.0,7.3,2.8,6,0.9,0.15,0.13,0.2,0.09
308,01 (Part) 2,and related service activities,Wales,2015.0,10.6,5.7,7.1,1.5,0.16,0.16,0.23,0.15
309,01 (Part) 2,and related service activities,Wales,2016.0,6.9,5.2,4.1,1.1,0.14,0.16,0.19,0.11
310,01 (Part) 2,and related service activities,Wales,2017.0,7.5,5,5.2,1.3,0.1,0.12,0.15,0.11
311,01 (Part) 2,and related service activities,Wales,2018.0,15.3,9.5,8.8,3,0.17,0.21,0.19,0.18
312,01 (Part) 2,and related service activities,Wales,2019.0,12.6,8,7.7,1.5,0.16,0.22,0.17,0.1
313,01 (Part) 2,and related service activities,Scotland,2012.0,11.1,5.9,9.1,1.7,0.11,0.13,0.16,0.08
314,01 (Part) 2,and related service activities,Scotland,2013.0,14.7,8.4,9.8,2.2,0.11,0.12,0.15,0.09
315,01 (Part) 2,and related service activities,Scotland,2014.0,20.3,6.8,17.6,2.2,0.13,0.12,0.17,0.09
316,01 (Part) 2,and related service activities,Scotland,2015.0,22.1,12.1,15.3,3.2,0.14,0.14,0.19,0.14
317,01 (Part) 2,and related service activities,Scotland,2016.0,20.4,14.3,13.7,3.2,0.12,0.15,0.17,0.1
318,01 (Part) 2,and related service activities,Scotland,2017.0,14.2,9.3,10,2.6,0.08,0.1,0.11,0.09
319,01 (Part) 2,and related service activities,Scotland,2018.0,26,16.2,15.6,5.2,0.13,0.17,0.15,0.15
320,01 (Part) 2,and related service activities,Scotland,2019.0,22.4,13.8,14.4,2.7,0.12,0.17,0.13,0.09
321,01 (Part) 2,and related service activities,Northern Ireland,2012.0,1.2,0.3,1,0.4,0.04,0.03,0.06,0.11
322,01 (Part) 2,and related service activities,Northern Ireland,2013.0,9.7,8,4.9,0.6,0.24,0.35,0.26,0.22
323,01 (Part) 2,and related service activities,Northern Ireland,2014.0,3.8,2.5,3,0.6,0.12,0.18,0.16,0.12
324,01 (Part) 2,and related service activities,Northern Ireland,2015.0,3.1,13.3,12.4,1.7,0.14,-1.53,0.41,0.32
325,01 (Part) 2,and related service activities,Northern Ireland,2016.0,6.8,4.7,3.6,0.6,0.17,0.22,0.19,0.17
326,01 (Part) 2,and related service activities,Northern Ireland,2017.0,6.8,4.5,3.7,1.1,0.17,0.2,0.22,0.21
327,01 (Part) 2,and related service activities,Northern Ireland,2018.0,16.5,4.6,13.7,0.9,0.35,0.2,0.59,0.21
328,01 (Part) 2,and related service activities,Northern Ireland,2019.0,11.8,5,7.9,1,0.19,0.19,0.22,0.15
329,01 (Part) 2,and related service activities,United Kingdom,2012.0,61.4,52.6,43.1,16.3,0.06,0.1,0.07,0.07
330,01 (Part) 2,and related service activities,United Kingdom,2013.0,108,75.5,58.1,20.1,0.07,0.1,0.08,0.07
331,01 (Part) 2,and related service activities,United Kingdom,2014.0,141.3,52,121.1,17.3,0.09,0.08,0.13,0.06
332,01 (Part) 2,and related service activities,United Kingdom,2015.0,171.4,99.5,118,26.5,0.11,0.13,0.14,0.1
333,01 (Part) 2,and related service activities,United Kingdom,2016.0,122.7,98.6,73.8,21.2,0.09,0.13,0.11,0.07
334,01 (Part) 2,and related service activities,United Kingdom,2017.0,116.4,79.5,85.9,21.5,0.07,0.09,0.1,0.07
335,01 (Part) 2,and related service activities,United Kingdom,2018.0,220.3,143.3,127.3,45.4,0.11,0.15,0.12,0.12
336,01 (Part) 2,and related service activities,United Kingdom,2019.0,169.7,114.1,106.6,22.1,0.09,0.14,0.1,0.07
337,02,Forestry and logging,North East,2012.0,6.6,2.4,5.7,0.5,0.17,0.25,0.19,0.07
338,02,Forestry and logging,North East,2013.0,2.5,1.6,1.8,0.8,0.07,0.11,0.07,0.1
339,02,Forestry and logging,North East,2014.0,3,1.6,2.1,0.6,0.09,0.1,0.09,0.07
340,02,Forestry and logging,North East,2015.0,4.8,2.8,3.3,0.7,0.12,0.14,0.13,0.08
341,02,Forestry and logging,North East,2016.0,3.5,2.4,2,0.6,0.08,0.11,0.07,0.06
342,02,Forestry and logging,North East,2017.0,7.6,4.5,5.8,0.8,0.14,0.18,0.17,0.08
343,02,Forestry and logging,North East,2018.0,4.7,3.2,2.9,3.6,0.1,0.15,0.09,0.19
344,02,Forestry and logging,North East,2019.0,14.3,12.2,4.1,0.9,0.21,0.29,0.15,0.08
345,02,Forestry and logging,North West,2012.0,9.4,3.8,8.2,0.6,0.18,0.26,0.18,0.07
346,02,Forestry and logging,North West,2013.0,3.2,2,2.1,1.1,0.07,0.11,0.07,0.12
347,02,Forestry and logging,North West,2014.0,4.4,2.2,3.1,0.8,0.09,0.1,0.1,0.09
348,02,Forestry and logging,North West,2015.0,6.8,4.1,4.7,1.1,0.13,0.16,0.14,0.09
349,02,Forestry and logging,North West,2016.0,4.7,3.8,2.9,0.8,0.09,0.14,0.09,0.07
350,02,Forestry and logging,North West,2017.0,12.2,7.1,9.3,1.3,0.15,0.18,0.2,0.1
351,02,Forestry and logging,North West,2018.0,7.8,5,5.2,1.2,0.11,0.15,0.11,0.07
352,02,Forestry and logging,North West,2019.0,6.9,6.8,5.1,1.2,0.12,0.25,0.14,0.08
353,02,Forestry and logging,Yorkshire and The Humber,2012.0,11.6,4.4,10.2,0.7,0.13,0.22,0.14,0.06
354,02,Forestry and logging,Yorkshire and The Humber,2013.0,3.3,2.2,2.2,1.2,0.07,0.11,0.08,0.13
355,02,Forestry and logging,Yorkshire and The Humber,2014.0,3.9,2.1,2.7,0.7,0.1,0.11,0.12,0.09
356,02,Forestry and logging,Yorkshire and The Humber,2015.0,5.8,3.6,3.9,1,0.14,0.16,0.16,0.11
357,02,Forestry and logging,Yorkshire and The Humber,2016.0,4.1,3.2,2.6,0.8,0.1,0.16,0.1,0.08
358,02,Forestry and logging,Yorkshire and The Humber,2017.0,11.5,6.7,8.7,1.2,0.18,0.21,0.25,0.12
359,02,Forestry and logging,Yorkshire and The Humber,2018.0,7.7,5.2,4.7,1.2,0.14,0.2,0.14,0.09
360,02,Forestry and logging,Yorkshire and The Humber,2019.0,6.8,6.8,4.8,1.2,0.13,0.27,0.16,0.09
361,02,Forestry and logging,East Midlands,2012.0,11.7,4.4,10.3,0.7,0.17,0.26,0.19,0.06
362,02,Forestry and logging,East Midlands,2013.0,4.6,2.8,3.1,1.5,0.07,0.11,0.07,0.11
363,02,Forestry and logging,East Midlands,2014.0,4.9,2.6,3.4,1,0.08,0.1,0.1,0.07
364,02,Forestry and logging,East Midlands,2015.0,9.8,6.1,6.5,1.7,0.14,0.17,0.16,0.11
365,02,Forestry and logging,East Midlands,2016.0,6.4,4.4,4.7,1.3,0.08,0.14,0.08,0.07
366,02,Forestry and logging,East Midlands,2017.0,14.8,8.4,11.4,2.1,0.14,0.19,0.17,0.12
367,02,Forestry and logging,East Midlands,2018.0,10.5,6.4,7.7,2.2,0.1,0.17,0.1,0.1
368,02,Forestry and logging,East Midlands,2019.0,10.7,8.1,9.7,1.9,0.11,0.25,0.14,0.09
369,02,Forestry and logging,West Midlands,2012.0,12.8,4.7,11.2,0.7,0.2,0.25,0.24,0.07
370,02,Forestry and logging,West Midlands,2013.0,4.2,2.8,2.8,1.5,0.07,0.11,0.08,0.12
371,02,Forestry and logging,West Midlands,2014.0,9.2,6.7,4.4,2.7,0.11,0.14,0.11,0.14
372,02,Forestry and logging,West Midlands,2015.0,9.5,5.3,7,2.8,0.13,0.13,0.18,0.14
373,02,Forestry and logging,West Midlands,2016.0,5.8,4.5,3.7,1.1,0.1,0.15,0.11,0.08
374,02,Forestry and logging,West Midlands,2017.0,16.8,9.7,12.6,2,0.18,0.19,0.27,0.11
375,02,Forestry and logging,West Midlands,2018.0,12.3,8.1,8.2,2.6,0.13,0.15,0.17,0.1
376,02,Forestry and logging,West Midlands,2019.0,10.7,10.5,8.4,3.1,0.13,0.22,0.21,0.11
377,02,Forestry and logging,East of England,2012.0,14.3,5.4,12.5,0.9,0.16,0.21,0.19,0.04
378,02,Forestry and logging,East of England,2013.0,5.2,3.3,3.4,1.8,0.06,0.09,0.06,0.08
379,02,Forestry and logging,East of England,2014.0,6.6,3.5,4.5,1.2,0.11,0.12,0.12,0.08
380,02,Forestry and logging,East of England,2015.0,9.9,6.2,6.5,1.6,0.14,0.18,0.15,0.09
381,02,Forestry and logging,East of England,2016.0,7.1,5.3,4.5,1.3,0.1,0.17,0.1,0.07
382,02,Forestry and logging,East of England,2017.0,18.5,10.9,13.8,1.9,0.17,0.2,0.23,0.1
383,02,Forestry and logging,East of England,2018.0,12.2,8.1,7.6,2.2,0.13,0.19,0.14,0.08
384,02,Forestry and logging,East of England,2019.0,9.8,10.1,6.7,2.1,0.12,0.24,0.15,0.09
385,02,Forestry and logging,London,2012.0,4.7,1.8,4.1,0.3,0.15,0.14,0.21,0.04
386,02,Forestry and logging,London,2013.0,2,1.3,1.3,0.7,0.06,0.08,0.07,0.08
387,02,Forestry and logging,London,2014.0,3.8,2,2.7,0.7,0.12,0.12,0.16,0.12
388,02,Forestry and logging,London,2015.0,5.7,3.5,3.8,0.9,0.15,0.17,0.2,0.14
389,02,Forestry and logging,London,2016.0,4.2,3,3.2,1.7,0.1,0.13,0.15,0.13
390,02,Forestry and logging,London,2017.0,11.5,6.3,8.5,1.7,0.2,0.19,0.32,0.13
391,02,Forestry and logging,London,2018.0,7.5,5.9,4.5,1.6,0.13,0.16,0.16,0.12
392,02,Forestry and logging,London,2019.0,6.3,6.5,4.5,1.5,0.12,0.24,0.16,0.1
393,02,Forestry and logging,South East,2012.0,35.8,11.5,32.4,1.8,0.2,0.28,0.23,0.07
394,02,Forestry and logging,South East,2013.0,10.9,7.4,7.2,4.3,0.07,0.12,0.07,0.12
395,02,Forestry and logging,South East,2014.0,14.1,7.5,9.9,2.7,0.1,0.11,0.11,0.09
396,02,Forestry and logging,South East,2015.0,19.9,12.3,13.2,3.2,0.11,0.16,0.12,0.1
397,02,Forestry and logging,South East,2016.0,16.8,10.8,13.1,2.8,0.1,0.15,0.11,0.07
398,02,Forestry and logging,South East,2017.0,39.7,21,31.3,3.7,0.17,0.19,0.24,0.1
399,02,Forestry and logging,South East,2018.0,31,16,24.9,3.9,0.14,0.18,0.17,0.08
400,02,Forestry and logging,South East,2019.0,25.6,20.3,20.4,3.6,0.14,0.24,0.18,0.08
401,02,Forestry and logging,South West,2012.0,24,8.2,21.8,1.3,0.2,0.24,0.22,0.07
402,02,Forestry and logging,South West,2013.0,8.3,5.6,5.4,3,0.07,0.11,0.07,0.12
403,02,Forestry and logging,South West,2014.0,10.3,5.5,7.3,1.9,0.1,0.12,0.11,0.08
404,02,Forestry and logging,South West,2015.0,15.8,9.8,10.5,2.6,0.13,0.16,0.14,0.1
405,02,Forestry and logging,South West,2016.0,12.6,8.4,9.4,2,0.1,0.14,0.11,0.07
406,02,Forestry and logging,South West,2017.0,32.1,17.2,25.2,3,0.17,0.19,0.23,0.1
407,02,Forestry and logging,South West,2018.0,21.9,13.6,15.6,3.5,0.12,0.17,0.13,0.09
408,02,Forestry and logging,South West,2019.0,17.5,16.8,12,3.1,0.11,0.25,0.12,0.08
409,02,Forestry and logging,England,2012.0,130.4,46.4,116.1,7.1,0.18,0.24,0.2,0.06
410,02,Forestry and logging,England,2013.0,43.3,28.9,28.5,15.9,0.07,0.11,0.07,0.11
411,02,Forestry and logging,England,2014.0,55.2,28,39.7,10,0.09,0.1,0.11,0.08
412,02,Forestry and logging,England,2015.0,87.4,53.4,59,13.9,0.13,0.16,0.14,0.09
413,02,Forestry and logging,England,2016.0,62.3,44.9,42.8,10.7,0.09,0.14,0.09,0.07
414,02,Forestry and logging,England,2017.0,161.8,91,124.7,15.7,0.16,0.19,0.22,0.09
415,02,Forestry and logging,England,2018.0,111.4,69.4,76.6,17.8,0.12,0.16,0.13,0.08
416,02,Forestry and logging,England,2019.0,91.3,92,62.2,15.2,0.11,0.23,0.13,0.07
417,02,Forestry and logging,Wales,2012.0,17.3,5.7,15.7,1.1,0.14,0.23,0.14,0.04
418,02,Forestry and logging,Wales,2013.0,5.2,3.5,3.4,1.9,0.07,0.13,0.07,0.15
419,02,Forestry and logging,Wales,2014.0,6.8,3.6,4.7,1.3,0.12,0.12,0.16,0.12
420,02,Forestry and logging,Wales,2015.0,8.8,5.5,5.9,1.4,0.13,0.17,0.16,0.13
421,02,Forestry and logging,Wales,2016.0,8.4,5,6.6,1.2,0.1,0.17,0.12,0.09
422,02,Forestry and logging,Wales,2017.0,20.3,10.5,16.3,1.9,0.17,0.21,0.23,0.13
423,02,Forestry and logging,Wales,2018.0,15.2,7.7,12,4,0.13,0.17,0.16,0.16
424,02,Forestry and logging,Wales,2019.0,8.4,9.1,5.8,1.5,0.08,0.26,0.08,0.09
425,02,Forestry and logging,Scotland,2012.0,61.6,19.3,54.3,2.9,0.15,0.17,0.15,0.04
426,02,Forestry and logging,Scotland,2013.0,18.5,12.3,12.1,6.5,0.05,0.09,0.04,0.08
427,02,Forestry and logging,Scotland,2014.0,21.8,10.8,15.7,4,0.06,0.07,0.07,0.05
428,02,Forestry and logging,Scotland,2015.0,32.8,20.1,22.1,5.3,0.1,0.13,0.1,0.07
